name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CR Fermessadou,oVY7nSc1f6l,9142,10588,9425,10896,9706,11203,9993,11515,10286,11833,10585,12158,10890,12488,11200,12825,11517,13168,11839,13517,12168,13872,12502,14234
CR Firawa,lainjFCw0qK,5512,5947,5683,6121,5852,6292,6025,6468,6201,6646,6381,6828,6565,7014,6752,7202,6942,7395,7137,7591,7334,7790,7536,7993
CR Gbangbadou,LGBoZvDWf71,6679,7316,6885,7529,7090,7740,7300,7956,7514,8176,7732,8400,7954,8628,8181,8860,8412,9097,8647,9338,8887,9583,9131,9833
CU Kissidougou,zeRoaojBIqI,50699,53062,52265,54608,53820,56139,55409,57702,57031,59295,58686,60918,60373,62572,62093,64256,63845,65971,65630,67718,67448,69497,69299,71308
CR Kondiadou,lGfZboEkiIa,7050,8108,7268,8344,7485,8579,7706,8818,7932,9062,8163,9310,8398,9563,8637,9821,8881,10084,9130,10351,9383,10623,9641,10900
CR Manfran,aP4Eizo7KJe,6853,7247,7064,7458,7274,7667,7489,7881,7709,8099,7932,8320,8160,8546,8393,8776,8630,9011,8871,9249,9117,9492,9367,9740
CR Sangardo,vFnSO9m4t9l,10678,11468,11008,11802,11336,12133,11671,12471,12013,12815,12361,13166,12717,13524,13079,13888,13449,14259,13825,14636,14208,15021,14598,15413
CR Yend� Millimou,Jrbb2hNVIXr,9694,10783,9994,11098,10292,11409,10596,11727,10906,12051,11223,12381,11546,12718,11875,13060,12211,13409,12552,13765,12900,14127,13255,14495
CR Yombiro,xF5pEvKCH3i,6621,7784,6826,8011,7030,8236,7238,8466,7450,8700,7666,8939,7887,9182,8112,9429,8342,9681,8575,9938,8813,10200,9055,10466
DPS Kissidougou,VUj3PJpzty8,0,-1,2,1,1,1,-1,0,-1,1,1,0,0,-1,2,1,0,-1,1,-1,-1,0,-2,1
IRS Faranah,QrHKMLcRSCA,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,0,-1,0,1,0,0,0
